step_UTC,wind-speed-10m,wind-dir-10m-compass,gust-wind-speed-10m,temperature-C
2025-11-14 06:00:00,4,N,5,3.2
2025-11-14 07:00:00,3,N,5,2.8
2025-11-14 08:00:00,3,N,4,2.7
2025-11-14 09:00:00,3,N,4,3.6
2025-11-14 10:00:00,3,N,5,4.4
2025-11-14 11:00:00,3,N,5,5.0
2025-11-14 12:00:00,3,N,5,5.8
2025-11-14 13:00:00,3,N,5,6.2
2025-11-14 14:00:00,3,N,5,6.0
2025-11-14 15:00:00,3,N,5,5.0
2025-11-14 16:00:00,3,NNE,5,3.8
2025-11-14 17:00:00,3,NE,4,2.5
2025-11-14 18:00:00,3,NE,4,2.1
2025-11-14 19:00:00,3,NE,5,1.9
2025-11-14 20:00:00,3,NE,5,1.5
2025-11-14 21:00:00,3,NE,4,1.5
2025-11-14 22:00:00,3,NE,5,1.4
2025-11-14 23:00:00,2,NE,5,1.0
2025-11-15 00:00:00,2,NE,3,0.8
2025-11-15 01:00:00,2,NE,3,0.8
2025-11-15 02:00:00,3,NE,4,1.1
2025-11-15 03:00:00,3,NE,4,1.2
2025-11-15 04:00:00,3,ENE,5,1.3
2025-11-15 05:00:00,3,ENE,4,1.3
2025-11-15 06:00:00,3,NE,4,1.3
2025-11-15 07:00:00,3,NE,4,1.2
2025-11-15 08:00:00,3,NE,4,1.3
2025-11-15 09:00:00,2,NE,4,2.3
2025-11-15 10:00:00,2,NE,3,3.6
2025-11-15 11:00:00,2,NE,3,4.7
2025-11-15 12:00:00,2,NE,3,5.2
2025-11-15 13:00:00,2,N,3,5.3
2025-11-15 14:00:00,2,NNE,3,4.6
2025-11-15 15:00:00,2,NE,2,3.7
2025-11-15 16:00:00,1,N,2,3.8
2025-11-15 17:00:00,2,NNW,3,3.7
2025-11-15 18:00:00,3,WNW,4,4.1
2025-11-15 19:00:00,4,WNW,6,5.3
2025-11-15 20:00:00,4,N,6,4.9
2025-11-15 21:00:00,3,NNW,5,4.5
2025-11-15 22:00:00,3,NW,4,4.0
2025-11-15 23:00:00,3,NW,5,3.9
2025-11-16 00:00:00,4,NW,5,4.2
2025-11-16 01:00:00,4,WNW,7,4.9
2025-11-16 02:00:00,5,NW,8,6.0
2025-11-16 03:00:00,5,NW,8,5.9
2025-11-16 04:00:00,5,NW,9,6.0
2025-11-16 05:00:00,6,NW,10,6.1
2025-11-16 06:00:00,4,NNW,9,6.1
2025-11-16 07:00:00,5,NW,7,6.7
2025-11-16 08:00:00,5,WNW,8,7.7
2025-11-16 09:00:00,9,WNW,14,8.2
2025-11-16 10:00:00,7,NW,16,8.1
2025-11-16 11:00:00,7,NW,11,8.0
2025-11-16 12:00:00,8,NNW,12,7.9
2025-11-16 13:00:00,8,NNW,13,7.4
2025-11-16 14:00:00,8,NW,14,6.9
2025-11-16 15:00:00,6,NNW,12,6.5
2025-11-16 16:00:00,7,NNW,12,6.3
2025-11-16 17:00:00,8,NNW,13,5.7
2025-11-16 18:00:00,8,NNW,13,5.1
