step,wind-speed,wind-dir,significant-wave-height,dominant-wave-period,mean-wave-period,mean-zerocrossing-period,mean-wave-dir,significant-windwave-height,mean-windwave-period,mean-windwave-dir,significant-totalswell-height,mean-totalswell-period,mean-totalswell-dir,benjamin-feir-index
2025-11-13T18:00:00.000Z,4.7,E,1.3,7.0,7.2,5.0,W,0.1,1.4,ENE,1.3,7.2,W,0.1
2025-11-13T19:00:00.000Z,2.9,ESE,1.4,8.8,7.5,5.4,W,0.1,1.4,ESE,1.4,7.5,W,0.1
2025-11-13T20:00:00.000Z,3.0,E,1.4,8.8,7.7,5.7,W,0.1,1.3,E,1.4,7.7,W,0.1
2025-11-13T21:00:00.000Z,1.7,ENE,1.4,8.7,7.9,5.9,W,0.0,0.8,ENE,1.5,7.9,W,0.1
2025-11-13T22:00:00.000Z,1.4,NE,1.4,8.6,7.9,6.0,W,0.0,1.0,S,1.4,7.9,W,0.1
2025-11-13T23:00:00.000Z,2.2,N,1.4,8.5,7.9,6.1,WSW,0.0,0.9,N,1.4,7.9,WSW,0.1
2025-11-14T00:00:00.000Z,2.4,NNW,1.4,8.3,7.8,6.1,WSW,0.0,1.0,NNW,1.4,7.8,WSW,0.1
2025-11-14T01:00:00.000Z,2.0,NW,1.3,8.1,7.8,6.0,WSW,0.0,0.9,NW,1.3,7.8,WSW,0.1
2025-11-14T02:00:00.000Z,4.0,NW,1.2,7.9,7.7,5.8,WSW,0.1,1.9,NW,1.2,7.7,WSW,0.1
2025-11-14T03:00:00.000Z,4.5,NNW,1.2,7.9,7.5,5.3,WSW,0.2,2.0,NW,1.2,7.6,WSW,0.1
2025-11-14T04:00:00.000Z,5.8,NNW,1.2,7.8,7.1,4.5,WSW,0.3,2.4,NW,1.1,7.5,WSW,0.1
2025-11-14T05:00:00.000Z,6.1,NNW,1.1,7.7,6.7,4.2,WSW,0.4,2.6,NW,1.1,7.3,WSW,0.1
2025-11-14T06:00:00.000Z,5.0,N,1.1,7.6,6.6,4.1,WSW,0.3,2.2,NNW,1.1,6.9,WSW,0.1
2025-11-14T07:00:00.000Z,4.5,N,1.0,7.6,6.5,4.2,WSW,0.2,2.1,NNW,1.0,6.7,WSW,0.1
2025-11-14T08:00:00.000Z,4.3,N,1.0,7.5,6.4,4.2,WSW,0.2,2.0,NNW,1.0,6.6,WSW,0.1
