# Model run (UTC): 2025-11-21 12:00
# Created (UTC): 2025-11-21 14:43
time_utc,wind_speed_ms,wind_dir_deg,hs_m,tp_s,mean_wave_period_s,mean_zerocrossing_period_s,mean_wave_dir_deg,windwave_hs_m,windwave_tp_s,windwave_dir_deg,swell_hs_m,swell_tp_s,swell_dir_deg,benjamin_feir_index
2025-11-21T09:00:00+00:00,2.3092992,24.0,0.609379,8.3828125,5.7070312,3.5058594,297.3755,0.048832126,1.0714328,26.5,0.60742587,5.7382812,297.1251,0.028076172
2025-11-21T10:00:00+00:00,1.9441458,22.6333,0.5957071,8.3203125,5.6640625,3.4511719,297.50073,0.033207126,0.8761203,24.0,0.5957071,5.6757812,297.3758,0.02709961
2025-11-21T11:00:00+00:00,1.9400662,2.8912354,0.5859415,8.292969,5.5742188,3.34375,297.62543,0.033207126,0.8995578,1.75,0.58398837,5.5898438,297.6252,0.025634766
2025-11-21T12:00:00+00:00,2.7095168,338.51727,0.57422274,8.2734375,5.4726562,3.2207031,297.6267,0.083988376,1.3351047,333.875,0.56836337,5.5625,297.0065,0.024169922
2025-11-21T13:00:00+00:00,1.0399853,15.250183,0.55078524,8.25,5.5,3.2265625,297.50177,3.9999995e-06,0.9991672,180.0,0.5517618,5.5,297.5017,0.02368164
2025-11-21T14:00:00+00:00,0.8201018,4.000061,0.52734774,8.21875,5.5507812,3.2148438,297.51007,3.9999995e-06,0.9991672,180.0,0.5263712,5.5507812,297.5006,0.02319336
2025-11-21T15:00:00+00:00,0.4119665,41.14142,0.50391024,8.183594,5.5898438,3.1894531,297.62973,3.9999995e-06,0.99916726,180.0,0.5029337,5.5898438,297.62653,0.022705078
2025-11-21T16:00:00+00:00,1.0323228,171.6359,0.48242587,8.1328125,5.6054688,3.1484375,297.75027,3.9999995e-06,0.9991672,180.0,0.48242587,5.6054688,297.75104,0.021972656
2025-11-21T17:00:00+00:00,0.87155104,223.75815,0.4765665,8.066406,5.4414062,2.9785156,296.0044,3.9999995e-06,0.99916726,180.0,0.4765665,5.4414062,296.0012,0.020263672
2025-11-21T18:00:00+00:00,6.667426,255.37506,0.625004,7.8945312,4.1328125,2.5332031,279.0123,0.500004,2.7862766,263.75,0.37402743,6.5273438,307.1266,0.029052734
2025-11-21T19:00:00+00:00,6.9235125,250.65295,0.7597696,3.5859375,3.8867188,2.7421875,270.8757,0.65430087,3.1104953,259.375,0.38379306,6.1523438,307.00037,0.22875977
2025-11-21T20:00:00+00:00,7.6169686,245.875,0.83398837,3.9140625,3.9257812,2.9238281,266.3894,0.734379,3.354636,255.25,0.39648837,5.875,307.25006,0.23876953
2025-11-21T21:00:00+00:00,8.039221,242.63174,0.9082071,4.1640625,4.0,3.0644531,262.37708,0.81152743,3.5499485,252.25,0.40723056,5.796875,306.0003,0.234375
2025-11-21T22:00:00+00:00,9.025301,234.00873,1.0214884,4.390625,4.1210938,3.2695312,256.51526,0.9140665,3.7374485,245.75,0.45703524,5.6484375,302.1268,0.2878418
2025-11-21T23:00:00+00:00,9.641887,235.37628,1.1738322,4.7382812,4.328125,3.4960938,252.29364,1.0839884,4.0655737,244.75,0.44726962,5.8789062,300.5025,0.29833984
2025-11-22T00:00:00+00:00,8.329879,230.37415,1.2773478,5.1289062,4.6445312,3.7910156,251.50061,1.093754,4.255027,238.875,0.6582071,5.71875,287.88605,0.28393555
2025-11-22T01:00:00+00:00,10.53085,239.25006,1.515629,5.40625,4.9414062,4.0703125,250.46515,1.4453166,4.792136,246.625,0.4580118,6.421875,295.13504,0.34814453
2025-11-22T02:00:00+00:00,9.668174,237.50195,1.6269572,5.8125,5.2578125,4.3203125,249.8742,1.4863322,4.9874487,243.5,0.66211337,6.6171875,285.87817,0.30908203
2025-11-22T03:00:00+00:00,10.678042,231.15189,1.7793009,6.1914062,5.515625,4.5097656,247.77295,1.6074259,5.2159643,239.375,0.76172274,6.8476562,287.00012,0.27246094
2025-11-22T04:00:00+00:00,11.34624,232.6211,1.9980509,6.4296875,5.8007812,4.7304688,246.54327,1.875004,5.587058,241.125,0.6894571,7.390625,289.75345,0.30371094
2025-11-22T05:00:00+00:00,11.24163,234.875,2.2148478,6.9453125,6.1679688,5.0253906,247.71909,2.0351603,5.868308,241.25,0.87305087,7.8085938,285.50833,0.27539062
2025-11-22T06:00:00+00:00,11.591013,234.64209,2.4121134,7.21875,6.5117188,5.294922,249.0376,2.1660197,6.0968237,241.0,1.0605509,8.253906,283.88956,0.29638672
2025-11-22T07:00:00+00:00,11.497191,236.52783,2.5576212,7.703125,6.8046875,5.501953,250.71597,2.272465,6.3272924,242.375,1.1748087,8.59375,283.0092,0.25439453
2025-11-22T08:00:00+00:00,11.790178,232.41452,2.6884806,7.875,7.0390625,5.6679688,251.17126,2.3076212,6.3917456,240.0,1.3789103,8.847656,282.37973,0.2626953
2025-11-22T09:00:00+00:00,10.770038,224.87546,2.711918,8.359375,7.2460938,5.8339844,251.02173,2.0078166,6.051902,230.875,1.8222697,8.6953125,275.125,0.21728516
2025-11-22T10:00:00+00:00,10.809238,224.25186,2.7070353,8.527344,7.3515625,5.921875,249.98447,1.9794962,6.087058,228.75,1.8466837,8.808594,274.16455,0.21606445
2025-11-22T11:00:00+00:00,10.182672,217.79474,2.6621134,8.574219,7.390625,5.9472656,248.4389,1.8242228,5.8878393,222.875,1.9384806,8.722656,270.64026,0.21166992
2025-11-22T12:00:00+00:00,10.416117,215.5191,2.609379,8.558594,7.34375,5.875,246.10797,1.828129,5.897605,220.75,1.8623087,8.738281,270.02155,0.20336914
2025-11-22T13:00:00+00:00,11.219578,218.00024,2.6132853,8.453125,7.2109375,5.720703,242.74213,2.0195353,6.1104956,222.75,1.6591837,8.84375,272.26532,0.19726562
2025-11-22T14:00:00+00:00,12.153155,220.06439,2.7089884,8.253906,7.0859375,5.6328125,239.06473,2.3515666,6.4659643,226.875,1.3447306,8.988281,277.4051,0.20336914
2025-11-22T15:00:00+00:00,11.2316675,211.01266,2.7714884,8.152344,7.1328125,5.75,235.98563,2.2539103,6.3272924,219.5,1.6142619,8.703125,268.50714,0.2199707
2025-11-22T16:00:00+00:00,11.600082,210.80322,2.8398478,8.160156,7.2070312,5.876953,232.78369,2.3535197,6.505027,218.125,1.5888712,8.75,266.25458,0.23535156
2025-11-22T17:00:00+00:00,11.354675,210.9223,2.8769572,8.230469,7.28125,5.9746094,230.03552,2.35059,6.526511,216.0,1.6572306,8.796875,259.82605,0.24487305
2025-11-22T18:00:00+00:00,10.231167,212.40155,2.8007853,8.300781,7.375,6.1484375,228.25787,1.9921916,6.1378393,212.75,1.968754,8.636719,245.50531,0.24731445
2025-11-22T19:00:00+00:00,11.029741,216.77289,2.7402384,8.316406,7.3710938,6.1054688,226.5039,2.2060587,6.602683,216.375,1.6259806,8.7890625,247.87048,0.24194336
2025-11-22T20:00:00+00:00,5.930654,238.5122,2.586918,8.339844,7.53125,6.3339844,225.84021,0.4765665,3.3839328,235.875,2.5419962,7.6757812,225.44553,0.2421875
2025-11-22T21:00:00+00:00,6.0892663,212.02567,2.4296916,8.378906,7.6875,6.517578,225.09131,0.43945712,3.4737766,209.125,2.3896525,7.828125,225.65598,0.23632812
2025-11-22T22:00:00+00:00,5.183825,223.8161,2.3164103,8.425781,7.8007812,6.6367188,223.92584,0.2421915,2.9288547,221.625,2.303715,7.8554688,224.00693,0.22875977
2025-11-22T23:00:00+00:00,3.377994,255.26575,2.2265666,8.472656,7.8828125,6.71875,222.70172,0.059574313,1.3526828,252.0,2.22559,7.890625,222.62366,0.22363281
2025-11-23T00:00:00+00:00,3.9220774,234.38904,2.154301,8.5,7.921875,6.720703,221.25769,0.09766025,2.0167453,228.75,2.1523478,7.9335938,221.31665,0.21679688
2025-11-23T01:00:00+00:00,2.9658988,253.375,2.0976603,8.511719,7.953125,6.6914062,219.70764,0.052738376,1.1436985,251.125,2.0966837,7.9570312,219.68118,0.20751953
2025-11-23T02:00:00+00:00,2.3917484,236.50464,2.0507853,8.519531,8.03125,6.7558594,217.88553,0.04297275,0.96791726,238.25,2.0498087,8.035156,217.875,0.19921875
2025-11-23T03:00:00+00:00,3.7229831,202.88934,2.0195353,8.5390625,8.109375,6.8183594,216.00446,0.078129,1.776511,204.75,2.0185587,8.1171875,215.96198,0.19335938
2025-11-23T04:00:00+00:00,3.6718574,174.87689,2.000004,8.5703125,8.167969,6.8652344,214.01251,0.06641025,1.557761,176.75,1.9980509,8.171875,214.15613,0.19042969
2025-11-23T05:00:00+00:00,5.958028,166.25,1.9980509,8.613281,8.207031,6.875,211.84021,0.25586337,3.4620578,170.125,1.9804728,8.285156,212.52194,0.18798828
2025-11-23T06:00:00+00:00,6.658248,168.63342,2.0390666,8.699219,8.2265625,6.8789062,208.27853,0.39453524,3.7433078,173.75,2.0009806,8.402344,209.78433,0.18408203
2025-11-23T07:00:00+00:00,9.78232,184.37503,2.203129,8.925781,8.066406,6.3085938,202.38449,1.1503947,5.587058,187.25,1.8779337,8.996094,208.62543,0.14892578
2025-11-23T08:00:00+00:00,11.513956,166.75024,2.5019572,9.0390625,7.8007812,5.90625,194.91446,1.9023478,6.790183,181.875,1.625004,9.1796875,215.46582,0.15234375
2025-11-23T09:00:00+00:00,13.7348795,145.75,2.841801,9.0703125,7.625,5.8984375,187.9787,2.2578166,6.915183,173.375,1.7265666,8.84375,215.52115,0.1640625
2025-11-23T10:00:00+00:00,13.908294,173.00027,3.1777384,9.046875,7.5976562,5.9882812,185.91776,3.0800822,7.520652,182.75,0.7841837,8.78125,261.151,0.18652344
2025-11-23T11:00:00+00:00,12.328966,169.87527,3.2207072,9.0859375,7.7617188,6.1679688,185.44775,2.984379,7.4503393,180.5,1.2148478,9.628906,224.0857,0.20019531
2025-11-23T12:00:00+00:00,13.908004,162.63824,3.4179728,9.0859375,7.8515625,6.3203125,184.16364,3.2109416,7.6690893,179.25,1.1757853,9.222656,230.54327,0.22265625
