# Model run (UTC): 2025-11-21 12:00
# Created (UTC): 2025-11-21 14:43
time_utc,time_local,wind_speed_ms,wind_dir_deg,hs_m,tp_s,mean_wave_period_s,mean_zerocrossing_period_s,mean_wave_dir_deg,windwave_hs_m,windwave_tp_s,windwave_dir_deg,swell_hs_m,swell_tp_s,swell_dir_deg,benjamin_feir_index
2025-11-21T09:00:00+00:00,10:00,2.3092992,NNE,0.609379,8.3828125,5.7070312,3.5058594,WNW,0.048832126,1.0714328,NNE,0.60742587,5.7382812,WNW,0.028076172
2025-11-21T10:00:00+00:00,11:00,1.9441458,NNE,0.5957071,8.3203125,5.6640625,3.4511719,WNW,0.033207126,0.8761203,NNE,0.5957071,5.6757812,WNW,0.02709961
2025-11-21T11:00:00+00:00,12:00,1.9400662,N,0.5859415,8.292969,5.5742188,3.34375,WNW,0.033207126,0.8995578,N,0.58398837,5.5898438,WNW,0.025634766
2025-11-21T12:00:00+00:00,13:00,2.7,NNW,0.6,8.3,5.5,3.2,WNW,0.1,1.3,NNW,0.6,5.6,WNW,0.0
2025-11-21T13:00:00+00:00,14:00,1.0,NNE,0.6,8.2,5.5,3.2,WNW,0.0,1.0,S,0.6,5.5,WNW,0.0
2025-11-21T14:00:00+00:00,15:00,0.8,N,0.5,8.2,5.6,3.2,WNW,0.0,1.0,S,0.5,5.6,WNW,0.0
2025-11-21T15:00:00+00:00,16:00,0.4,NE,0.5,8.2,5.6,3.2,WNW,0.0,1.0,S,0.5,5.6,WNW,0.0
2025-11-21T16:00:00+00:00,17:00,1.0,S,0.5,8.1,5.6,3.1,WNW,0.0,1.0,S,0.5,5.6,WNW,0.0
2025-11-21T17:00:00+00:00,18:00,0.9,SW,0.5,8.1,5.4,3.0,WNW,0.0,1.0,S,0.5,5.4,WNW,0.0
2025-11-21T18:00:00+00:00,19:00,6.7,WSW,0.6,7.9,4.1,2.5,W,0.5,2.8,W,0.4,6.5,NW,0.0
2025-11-21T19:00:00+00:00,20:00,6.9,WSW,0.8,3.6,3.9,2.7,W,0.7,3.1,W,0.4,6.2,NW,0.2
2025-11-21T20:00:00+00:00,21:00,7.6,WSW,0.8,3.9,3.9,2.9,W,0.7,3.4,WSW,0.4,5.9,NW,0.2
2025-11-21T21:00:00+00:00,22:00,8.0,WSW,0.9,4.2,4.0,3.1,W,0.8,3.5,WSW,0.4,5.8,NW,0.2
2025-11-21T22:00:00+00:00,23:00,9.0,SW,1.0,4.4,4.1,3.3,WSW,0.9,3.7,WSW,0.5,5.6,WNW,0.3
2025-11-21T23:00:00+00:00,00:00,9.6,SW,1.2,4.7,4.3,3.5,WSW,1.1,4.1,WSW,0.4,5.9,WNW,0.3
2025-11-22T00:00:00+00:00,01:00,8.3,SW,1.3,5.1,4.6,3.8,WSW,1.1,4.3,WSW,0.7,5.7,WNW,0.3
2025-11-22T01:00:00+00:00,02:00,10.5,WSW,1.5,5.4,4.9,4.1,WSW,1.4,4.8,WSW,0.5,6.4,WNW,0.3
2025-11-22T02:00:00+00:00,03:00,9.7,WSW,1.6,5.8,5.3,4.3,WSW,1.5,5.0,WSW,0.7,6.6,WNW,0.3
2025-11-22T03:00:00+00:00,04:00,10.7,SW,1.8,6.2,5.5,4.5,WSW,1.6,5.2,WSW,0.8,6.8,WNW,0.3
2025-11-22T04:00:00+00:00,05:00,11.3,SW,2.0,6.4,5.8,4.7,WSW,1.9,5.6,WSW,0.7,7.4,WNW,0.3
2025-11-22T05:00:00+00:00,06:00,11.2,SW,2.2,6.9,6.2,5.0,WSW,2.0,5.9,WSW,0.9,7.8,WNW,0.3
2025-11-22T06:00:00+00:00,07:00,11.6,SW,2.4,7.2,6.5,5.3,WSW,2.2,6.1,WSW,1.1,8.3,WNW,0.3
2025-11-22T07:00:00+00:00,08:00,11.5,WSW,2.6,7.7,6.8,5.5,WSW,2.3,6.3,WSW,1.2,8.6,WNW,0.3
2025-11-22T08:00:00+00:00,09:00,11.8,SW,2.7,7.9,7.0,5.7,WSW,2.3,6.4,WSW,1.4,8.8,WNW,0.3
2025-11-22T09:00:00+00:00,10:00,10.8,SW,2.7,8.4,7.2,5.8,WSW,2.0,6.1,SW,1.8,8.7,W,0.2
2025-11-22T10:00:00+00:00,11:00,10.8,SW,2.7,8.5,7.4,5.9,WSW,2.0,6.1,SW,1.8,8.8,W,0.2
2025-11-22T11:00:00+00:00,12:00,10.2,SW,2.7,8.6,7.4,5.9,WSW,1.8,5.9,SW,1.9,8.7,W,0.2
2025-11-22T12:00:00+00:00,13:00,10.4,SW,2.6,8.6,7.3,5.9,WSW,1.8,5.9,SW,1.9,8.7,W,0.2
2025-11-22T13:00:00+00:00,14:00,11.2,SW,2.6,8.5,7.2,5.7,WSW,2.0,6.1,SW,1.7,8.8,W,0.2
2025-11-22T14:00:00+00:00,15:00,12.2,SW,2.7,8.3,7.1,5.6,WSW,2.4,6.5,SW,1.3,9.0,W,0.2
2025-11-22T15:00:00+00:00,16:00,11.2,SSW,2.8,8.2,7.1,5.8,SW,2.3,6.3,SW,1.6,8.7,W,0.2
2025-11-22T16:00:00+00:00,17:00,11.6,SSW,2.8,8.2,7.2,5.9,SW,2.4,6.5,SW,1.6,8.8,W,0.2
2025-11-22T17:00:00+00:00,18:00,11.4,SSW,2.9,8.2,7.3,6.0,SW,2.4,6.5,SW,1.7,8.8,W,0.2
2025-11-22T18:00:00+00:00,19:00,10.2,SSW,2.8,8.3,7.4,6.1,SW,2.0,6.1,SSW,2.0,8.6,WSW,0.2
2025-11-22T19:00:00+00:00,20:00,11.0,SW,2.7,8.3,7.4,6.1,SW,2.2,6.6,SW,1.6,8.8,WSW,0.2
2025-11-22T20:00:00+00:00,21:00,5.9,WSW,2.6,8.3,7.5,6.3,SW,0.5,3.4,SW,2.5,7.7,SW,0.2
2025-11-22T21:00:00+00:00,22:00,6.1,SSW,2.4,8.4,7.7,6.5,SW,0.4,3.5,SSW,2.4,7.8,SW,0.2
2025-11-22T22:00:00+00:00,23:00,5.2,SW,2.3,8.4,7.8,6.6,SW,0.2,2.9,SW,2.3,7.9,SW,0.2
2025-11-22T23:00:00+00:00,00:00,3.4,WSW,2.2,8.5,7.9,6.7,SW,0.1,1.4,WSW,2.2,7.9,SW,0.2
2025-11-23T00:00:00+00:00,01:00,3.9,SW,2.2,8.5,7.9,6.7,SW,0.1,2.0,SW,2.2,7.9,SW,0.2
2025-11-23T01:00:00+00:00,02:00,3.0,WSW,2.1,8.5,8.0,6.7,SW,0.1,1.1,WSW,2.1,8.0,SW,0.2
2025-11-23T02:00:00+00:00,03:00,2.4,WSW,2.1,8.5,8.0,6.8,SW,0.0,1.0,WSW,2.0,8.0,SW,0.2
2025-11-23T03:00:00+00:00,04:00,3.7,SSW,2.0,8.5,8.1,6.8,SW,0.1,1.8,SSW,2.0,8.1,SW,0.2
2025-11-23T04:00:00+00:00,05:00,3.7,S,2.0,8.6,8.2,6.9,SW,0.1,1.6,S,2.0,8.2,SW,0.2
2025-11-23T05:00:00+00:00,06:00,6.0,SSE,2.0,8.6,8.2,6.9,SSW,0.3,3.5,S,2.0,8.3,SSW,0.2
2025-11-23T06:00:00+00:00,07:00,6.7,SSE,2.0,8.7,8.2,6.9,SSW,0.4,3.7,S,2.0,8.4,SSW,0.2
2025-11-23T07:00:00+00:00,08:00,9.8,S,2.2,8.9,8.1,6.3,SSW,1.2,5.6,S,1.9,9.0,SSW,0.1
2025-11-23T08:00:00+00:00,09:00,11.5,SSE,2.5,9.0,7.8,5.9,SSW,1.9,6.8,S,1.6,9.2,SW,0.2
2025-11-23T09:00:00+00:00,10:00,13.7,SE,2.8,9.1,7.6,5.9,S,2.3,6.9,S,1.7,8.8,SW,0.2
2025-11-23T10:00:00+00:00,11:00,13.9,S,3.2,9.0,7.6,6.0,S,3.1,7.5,S,0.8,8.8,W,0.2
2025-11-23T11:00:00+00:00,12:00,12.3,S,3.2,9.1,7.8,6.2,S,3.0,7.5,S,1.2,9.6,SW,0.2
2025-11-23T12:00:00+00:00,13:00,13.9,SSE,3.4,9.1,7.9,6.3,S,3.2,7.7,S,1.2,9.2,SW,0.2
