# Model run (UTC): 2025-11-21 15:00
# Created (UTC): 2025-11-21 17:42
time_utc,time_local,wind_speed_ms,wind_dir_deg,gust_speed_ms,temp_air_c
2025-11-21T12:00:00+00:00,13:00,1.3184512815861178,ENE,1.8214862,1.3855800000000045
2025-11-21T13:00:00+00:00,14:00,0.13145076218727295,SSE,1.9443468,1.6249600000000441
2025-11-21T14:00:00+00:00,15:00,1.0363978180877818,E,1.4725277,1.5700300000000311
2025-11-21T15:00:00+00:00,16:00,1.1,E,1.2,1.2
2025-11-21T16:00:00+00:00,17:00,0.9,E,1.2,0.8
2025-11-21T17:00:00+00:00,18:00,1.5,E,1.7,0.7
2025-11-21T18:00:00+00:00,19:00,3.0,ESE,3.6,1.4
2025-11-21T19:00:00+00:00,20:00,1.8,SE,6.0,2.2
2025-11-21T20:00:00+00:00,21:00,3.9,SW,6.1,4.5
2025-11-21T21:00:00+00:00,22:00,6.2,WSW,9.6,6.0
2025-11-21T22:00:00+00:00,23:00,6.3,SW,9.7,6.2
2025-11-21T23:00:00+00:00,00:00,7.4,WSW,11.4,7.0
2025-11-22T00:00:00+00:00,01:00,7.3,WSW,12.0,6.9
2025-11-22T01:00:00+00:00,02:00,7.7,WSW,13.0,7.3
2025-11-22T02:00:00+00:00,03:00,7.0,SW,11.9,6.8
2025-11-22T03:00:00+00:00,04:00,7.8,SW,12.2,7.1
2025-11-22T04:00:00+00:00,05:00,8.8,SW,13.8,7.4
2025-11-22T05:00:00+00:00,06:00,9.0,SW,14.1,7.7
2025-11-22T06:00:00+00:00,07:00,9.2,WSW,14.4,8.0
2025-11-22T07:00:00+00:00,08:00,9.3,WSW,14.5,8.2
2025-11-22T08:00:00+00:00,09:00,8.7,SW,14.5,8.2
2025-11-22T09:00:00+00:00,10:00,8.7,SW,13.6,8.2
2025-11-22T10:00:00+00:00,11:00,8.3,SW,13.6,8.2
2025-11-22T11:00:00+00:00,12:00,6.8,SSW,13.0,8.0
2025-11-22T12:00:00+00:00,13:00,6.8,SSW,10.8,8.4
2025-11-22T13:00:00+00:00,14:00,8.9,SW,14.2,8.6
2025-11-22T14:00:00+00:00,15:00,9.4,SSW,15.5,8.3
2025-11-22T15:00:00+00:00,16:00,8.8,SSW,14.8,8.2
2025-11-22T16:00:00+00:00,17:00,9.1,SSW,14.9,8.5
2025-11-22T17:00:00+00:00,18:00,8.9,SSW,14.4,8.8
2025-11-22T18:00:00+00:00,19:00,9.1,SW,14.4,9.0
2025-11-22T19:00:00+00:00,20:00,7.3,SW,14.5,9.1
2025-11-22T20:00:00+00:00,21:00,6.3,WSW,12.2,9.0
2025-11-22T21:00:00+00:00,22:00,5.3,W,10.0,8.2
2025-11-22T22:00:00+00:00,23:00,5.6,W,9.1,8.3
2025-11-22T23:00:00+00:00,00:00,5.1,W,8.6,8.1
2025-11-23T00:00:00+00:00,01:00,3.7,W,7.7,7.4
2025-11-23T01:00:00+00:00,02:00,2.8,WSW,5.4,6.5
2025-11-23T02:00:00+00:00,03:00,1.7,SW,3.7,5.8
2025-11-23T03:00:00+00:00,04:00,1.4,ESE,2.5,4.3
2025-11-23T04:00:00+00:00,05:00,2.5,E,2.7,3.4
2025-11-23T05:00:00+00:00,06:00,2.8,E,4.3,4.0
2025-11-23T06:00:00+00:00,07:00,2.8,ENE,4.0,4.4
2025-11-23T07:00:00+00:00,08:00,3.3,E,5.9,5.3
2025-11-23T08:00:00+00:00,09:00,3.7,E,5.7,5.4
2025-11-23T09:00:00+00:00,10:00,4.1,ENE,7.2,5.3
2025-11-23T10:00:00+00:00,11:00,8.4,ESE,14.0,7.4
2025-11-23T11:00:00+00:00,12:00,4.8,SE,16.0,7.9
2025-11-23T12:00:00+00:00,13:00,6.2,SSE,11.4,8.4
2025-11-23T13:00:00+00:00,14:00,4.9,SSE,9.9,8.3
2025-11-23T14:00:00+00:00,15:00,5.2,SSE,8.2,8.2
2025-11-23T15:00:00+00:00,16:00,3.6,SSE,8.4,7.5
2025-11-23T16:00:00+00:00,17:00,3.3,SE,5.3,6.8
2025-11-23T17:00:00+00:00,18:00,6.8,SSE,10.8,8.0
2025-11-23T18:00:00+00:00,19:00,9.6,SSE,15.9,8.0
2025-11-23T19:00:00+00:00,20:00,9.3,SE,15.5,7.2
2025-11-23T20:00:00+00:00,21:00,10.0,SSE,16.4,7.1
2025-11-23T21:00:00+00:00,22:00,8.6,SE,16.3,6.6
2025-11-23T22:00:00+00:00,23:00,7.7,SE,14.0,6.0
2025-11-23T23:00:00+00:00,00:00,6.6,SE,12.5,5.7
2025-11-24T00:00:00+00:00,01:00,5.6,ESE,10.8,5.4
2025-11-24T01:00:00+00:00,02:00,4.5,E,9.1,4.7
2025-11-24T02:00:00+00:00,03:00,5.3,E,8.7,4.1
2025-11-24T03:00:00+00:00,04:00,4.3,ENE,9.0,3.5
