# Model run (UTC): 2025-11-21 19:28
time_utc,time_local,wind_speed_ms,wind_dir_deg,gust_speed_ms,cloud_cover_pct,precip_mm
2025-11-21T17:00:00+00:00,18:00,3.0,ESE,4.8,96.7,0.0
2025-11-21T18:00:00+00:00,19:00,2.4,E,3.7,100.0,0.0
2025-11-21T19:00:00+00:00,20:00,3.2,ESE,4.5,100.0,0.0
2025-11-21T20:00:00+00:00,21:00,3.3,ESE,4.8,100.0,0.3
2025-11-21T21:00:00+00:00,22:00,5.0,SW,8.2,100.0,0.0
2025-11-21T22:00:00+00:00,23:00,8.8,WSW,13.0,100.0,0.4
2025-11-21T23:00:00+00:00,00:00,7.5,WSW,15.7,100.0,0.2
2025-11-22T00:00:00+00:00,01:00,9.3,WSW,13.8,100.0,0.0
2025-11-22T01:00:00+00:00,02:00,8.6,WSW,13.3,100.0,0.0
2025-11-22T02:00:00+00:00,03:00,9.1,SW,13.3,100.0,0.2
2025-11-22T03:00:00+00:00,04:00,9.3,SW,13.3,100.0,0.3
2025-11-22T04:00:00+00:00,05:00,9.8,SW,13.9,100.0,0.2
2025-11-22T05:00:00+00:00,06:00,10.2,SW,14.5,100.0,0.1
2025-11-22T06:00:00+00:00,07:00,10.3,SW,14.6,100.0,0.3
2025-11-22T07:00:00+00:00,08:00,9.7,SW,14.5,100.0,0.4
2025-11-22T08:00:00+00:00,09:00,9.0,SW,13.8,100.0,0.4
2025-11-22T09:00:00+00:00,10:00,8.6,SW,12.7,100.0,0.4
2025-11-22T10:00:00+00:00,11:00,8.6,SW,12.2,100.0,0.5
2025-11-22T11:00:00+00:00,12:00,8.4,SW,12.2,100.0,0.5
2025-11-22T12:00:00+00:00,13:00,8.7,SSW,12.5,100.0,0.7
2025-11-22T13:00:00+00:00,14:00,10.1,SW,14.4,100.0,0.4
2025-11-22T14:00:00+00:00,15:00,10.0,SW,14.2,100.0,0.3
2025-11-22T15:00:00+00:00,16:00,9.7,SSW,14.6,100.0,0.6
2025-11-22T16:00:00+00:00,17:00,9.0,SSW,13.8,100.0,0.6
2025-11-22T17:00:00+00:00,18:00,8.8,S,13.4,100.0,0.3
2025-11-22T18:00:00+00:00,19:00,8.5,S,12.5,100.0,0.6
2025-11-22T19:00:00+00:00,20:00,9.4,SSW,13.4,100.0,0.5
2025-11-22T20:00:00+00:00,21:00,7.8,SSW,13.3,100.0,0.6
2025-11-22T21:00:00+00:00,22:00,5.5,WSW,11.3,100.0,0.3
2025-11-22T22:00:00+00:00,23:00,3.7,WSW,7.8,100.0,0.6
2025-11-22T23:00:00+00:00,00:00,7.4,SW,11.0,97.5,0.0
2025-11-23T00:00:00+00:00,01:00,6.0,W,10.5,87.4,0.0
2025-11-23T01:00:00+00:00,02:00,3.8,W,8.4,94.6,0.0
2025-11-23T02:00:00+00:00,03:00,3.0,W,5.5,97.9,0.0
2025-11-23T03:00:00+00:00,04:00,1.4,WNW,4.2,97.5,0.0
2025-11-23T04:00:00+00:00,05:00,1.3,ESE,2.4,98.0,0.0
