# Created: 2026-03-16T19:48:33.844241+00:00
# Model run: 2026-03-16T12:00:00+00:00
# DMI Created: 2026-03-16T15:24:07.858416+00:00
tid,dkssGammel,dkssNy,totalWaterMet
2026-03-16 20:00,0.326,0.337,0.130
2026-03-16 21:00,0.316,0.326,0.120
2026-03-16 22:00,0.305,0.312,0.130
2026-03-16 23:00,0.322,0.329,0.170
2026-03-17 00:00,0.334,0.340,0.200
2026-03-17 01:00,0.332,0.339,0.230
2026-03-17 02:00,0.297,0.306,0.250
2026-03-17 03:00,0.268,0.281,0.220
2026-03-17 04:00,0.238,0.256,0.150
2026-03-17 05:00,0.204,0.224,0.060
2026-03-17 06:00,0.166,0.185,-0.040
2026-03-17 07:00,0.131,0.151,-0.130
2026-03-17 08:00,0.106,0.126,-0.210
2026-03-17 09:00,0.094,0.112,-0.240
2026-03-17 10:00,0.069,0.083,-0.250
2026-03-17 11:00,0.066,0.080,-0.230
2026-03-17 12:00,0.066,0.078,-0.190
2026-03-17 13:00,0.057,0.071,-0.140
2026-03-17 14:00,0.038,0.052,-0.110
2026-03-17 15:00,0.027,0.044,-0.110
2026-03-17 16:00,0.026,0.047,-0.140
2026-03-17 17:00,0.034,0.057,-0.180
2026-03-17 18:00,0.001,0.028,-0.230
2026-03-17 19:00,-0.037,-0.010,-0.300
2026-03-17 20:00,-0.025,0.000,-0.340
2026-03-17 21:00,0.001,0.024,-0.360
2026-03-17 22:00,-0.004,0.016,-0.330
2026-03-17 23:00,-0.002,0.013,-0.290
2026-03-18 00:00,0.017,0.031,-0.230
2026-03-18 01:00,0.048,0.058,-0.160
2026-03-18 02:00,0.066,0.078,-0.080
2026-03-18 03:00,0.085,0.099,-0.030
2026-03-18 04:00,0.099,0.117,-0.030
2026-03-18 05:00,0.121,0.142,-0.050
2026-03-18 06:00,0.120,0.140,-0.080
2026-03-18 07:00,0.093,0.120,-0.140
2026-03-18 08:00,0.086,0.111,-0.190
2026-03-18 09:00,0.100,0.125,-0.230
2026-03-18 10:00,0.099,0.122,-0.220
2026-03-18 11:00,0.084,0.104,-0.190
2026-03-18 12:00,0.093,0.109,-0.140
2026-03-18 13:00,0.101,0.117,-0.080
2026-03-18 14:00,0.106,0.118,-0.030
2026-03-18 15:00,0.105,0.121,0.000
2026-03-18 16:00,0.115,0.132,0.000
2026-03-18 17:00,0.120,0.139,-0.020
2026-03-18 18:00,0.126,0.150,-0.050
2026-03-18 19:00,0.090,0.118,-0.090
2026-03-18 20:00,0.062,0.089,-0.140
2026-03-18 21:00,0.072,0.099,-0.180
2026-03-18 22:00,0.078,0.104,-0.180
2026-03-18 23:00,0.060,0.084,-0.170
2026-03-19 00:00,0.059,0.079,-0.140
2026-03-19 01:00,0.068,0.088,-0.100
2026-03-19 02:00,0.075,0.095,-0.050
2026-03-19 03:00,0.068,0.087,-0.010
2026-03-19 04:00,0.067,0.090,-0.030
2026-03-19 05:00,0.066,0.093,-0.050
2026-03-19 06:00,0.064,0.091,-0.100
2026-03-19 07:00,0.030,0.062,-0.160
2026-03-19 08:00,0.002,0.034,-0.220
2026-03-19 09:00,-0.012,0.017,-0.280
2026-03-19 10:00,-0.008,0.019,-0.300
2026-03-19 11:00,-0.029,-0.003,-0.300
2026-03-19 12:00,-0.040,-0.021,-0.280
2026-03-19 13:00,-0.033,-0.014,-0.240
2026-03-19 14:00,-0.028,-0.012,-0.200
2026-03-19 15:00,-0.045,-0.029,-0.160
2026-03-19 16:00,-0.058,-0.043,-0.160
2026-03-19 17:00,-0.060,-0.041,-0.190
2026-03-19 18:00,-0.050,-0.029,-0.230
2026-03-19 19:00,-0.054,-0.035,-0.280
2026-03-19 20:00,-0.102,-0.082,-0.340
