# Created: 2026-03-16T19:09:44.959837+00:00
# Model run: 2026-03-16T12:00:00+00:00
# DMI Created: 2026-03-16T15:24:07.858416+00:00
tid,dkssGammel,dkssNy,totalWaterMet
2026-03-16 20:00,0.343,0.429,0.280
2026-03-16 21:00,0.370,0.445,0.310
2026-03-16 22:00,0.375,0.441,0.320
2026-03-16 23:00,0.349,0.409,0.310
2026-03-17 00:00,0.307,0.371,0.280
2026-03-17 01:00,0.244,0.308,0.250
2026-03-17 02:00,0.166,0.242,0.220
2026-03-17 03:00,0.113,0.197,0.170
2026-03-17 04:00,0.084,0.170,0.130
2026-03-17 05:00,0.093,0.185,0.140
2026-03-17 06:00,0.121,0.211,0.130
2026-03-17 07:00,0.161,0.245,0.090
2026-03-17 08:00,0.208,0.284,0.090
2026-03-17 09:00,0.231,0.293,0.090
2026-03-17 10:00,0.225,0.278,0.070
2026-03-17 11:00,0.189,0.236,0.030
2026-03-17 12:00,0.134,0.179,0.010
2026-03-17 13:00,0.046,0.091,-0.020
2026-03-17 14:00,-0.050,0.005,-0.060
2026-03-17 15:00,-0.118,-0.054,-0.110
2026-03-17 16:00,-0.144,-0.072,-0.140
2026-03-17 17:00,-0.123,-0.039,-0.140
2026-03-17 18:00,-0.101,-0.015,-0.120
2026-03-17 19:00,-0.053,0.029,-0.130
2026-03-17 20:00,0.030,0.102,-0.120
2026-03-17 21:00,0.110,0.174,-0.070
2026-03-17 22:00,0.131,0.184,-0.020
2026-03-17 23:00,0.121,0.166,-0.030
2026-03-18 00:00,0.078,0.119,-0.040
2026-03-18 01:00,0.019,0.062,-0.050
2026-03-18 02:00,-0.037,0.014,-0.050
2026-03-18 03:00,-0.091,-0.028,-0.060
2026-03-18 04:00,-0.096,-0.020,-0.080
2026-03-18 05:00,-0.071,0.015,-0.060
2026-03-18 06:00,-0.032,0.054,-0.020
2026-03-18 07:00,0.022,0.108,-0.010
2026-03-18 08:00,0.094,0.172,0.010
2026-03-18 09:00,0.180,0.246,0.050
2026-03-18 10:00,0.216,0.273,0.090
2026-03-18 11:00,0.205,0.250,0.070
2026-03-18 12:00,0.163,0.198,0.050
2026-03-18 13:00,0.086,0.125,0.020
2026-03-18 14:00,-0.007,0.036,0.000
2026-03-18 15:00,-0.098,-0.043,-0.040
2026-03-18 16:00,-0.151,-0.083,-0.090
2026-03-18 17:00,-0.144,-0.064,-0.070
2026-03-18 18:00,-0.108,-0.022,-0.030
2026-03-18 19:00,-0.066,0.024,-0.030
2026-03-18 20:00,-0.005,0.077,-0.030
2026-03-18 21:00,0.076,0.150,0.020
2026-03-18 22:00,0.141,0.205,0.070
2026-03-18 23:00,0.137,0.189,0.080
2026-03-19 00:00,0.106,0.149,0.050
2026-03-19 01:00,0.029,0.072,0.030
2026-03-19 02:00,-0.058,-0.011,0.010
2026-03-19 03:00,-0.143,-0.085,-0.040
2026-03-19 04:00,-0.211,-0.138,-0.120
2026-03-19 05:00,-0.207,-0.125,-0.140
2026-03-19 06:00,-0.185,-0.095,-0.100
2026-03-19 07:00,-0.138,-0.044,-0.080
2026-03-19 08:00,-0.072,0.010,-0.100
2026-03-19 09:00,0.002,0.074,-0.080
2026-03-19 10:00,0.070,0.128,-0.030
2026-03-19 11:00,0.065,0.112,-0.020
2026-03-19 12:00,0.030,0.065,-0.070
2026-03-19 13:00,-0.041,-0.006,-0.120
2026-03-19 14:00,-0.137,-0.102,-0.150
2026-03-19 15:00,-0.248,-0.205,-0.210
2026-03-19 16:00,-0.351,-0.293,-0.280
2026-03-19 17:00,-0.383,-0.310,-0.320
2026-03-19 18:00,-0.347,-0.263,-0.290
2026-03-19 19:00,-0.296,-0.206,-0.260
2026-03-19 20:00,-0.246,-0.160,-0.280
