# Model run (UTC): 2025-12-02 06:00
time_utc,s1_h,s1_p,s1_dir,s1_dirMin,s2_h,s2_p,s2_dir,s2_dirMin,s3_h,s3_p,s3_dir,s3_dirMin,s4_h,s4_p,s4_dir,s4_dirMin,s5_h,s5_p,s5_dir,s5_dirMin,s6_h,s6_p,s6_dir,s6_dirMin,s1_impact,s2_impact,s3_impact,s4_impact,s5_impact,s6_impact
2025-12-01T23:00:00+00:00,4.1,10.0,196.4,181.7,0.2,11.0,331.8,327.9,0.1,14.0,298.8,293.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.015,0.048,0.0,0.0,0.0
2025-12-02T00:00:00+00:00,4.2,10.0,196.7,182.1,0.2,11.0,332.3,328.5,0.2,14.0,299.9,293.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.902,0.013,0.058,0.0,0.0,0.0
2025-12-02T01:00:00+00:00,4.3,10.0,196.9,182.6,0.0,0.0,0.0,0.0,0.3,13.0,310.3,299.7,0.1,18.0,303.6,298.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.874,0.0,0.061,0.04,0.0,0.0
2025-12-02T02:00:00+00:00,4.3,10.0,196.8,182.7,0.0,0.0,0.0,0.0,0.3,13.0,304.1,294.5,0.1,18.0,308.7,301.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.0,0.071,0.043,0.0,0.0
2025-12-02T03:00:00+00:00,4.4,10.0,196.7,182.7,0.0,0.0,0.0,0.0,0.3,13.0,301.0,292.5,0.2,18.0,304.5,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.837,0.0,0.082,0.057,0.0,0.0
2025-12-02T04:00:00+00:00,4.4,10.0,196.8,183.1,0.0,0.0,0.0,0.0,0.3,13.0,298.7,291.7,0.2,18.0,304.3,297.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.827,0.0,0.09,0.06,0.0,0.0
2025-12-02T05:00:00+00:00,4.5,10.0,197.3,183.7,0.0,0.0,0.0,0.0,0.4,13.0,298.5,291.6,0.2,17.0,300.3,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.809,0.0,0.093,0.075,0.0,0.0
2025-12-02T06:00:00+00:00,4.5,10.0,195.9,182.1,0.0,0.0,0.0,0.0,0.4,13.0,296.6,291.0,0.3,16.0,300.5,294.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.788,0.0,0.099,0.091,0.0,0.0
2025-12-02T07:00:00+00:00,4.6,10.0,196.7,182.8,0.0,0.0,0.0,0.0,0.4,13.0,296.3,291.3,0.4,16.0,300.1,294.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778,0.0,0.104,0.096,0.0,0.0
2025-12-02T08:00:00+00:00,4.5,10.0,197.5,183.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,16.0,297.7,292.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.822,0.0,0.0,0.148,0.0,0.0
2025-12-02T09:00:00+00:00,4.4,10.0,198.6,184.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,15.0,297.6,292.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.819,0.0,0.0,0.151,0.0,0.0
2025-12-02T10:00:00+00:00,4.2,10.0,200.2,185.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,15.0,297.4,292.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.799,0.0,0.0,0.171,0.0,0.0
