# Created: 2026-03-16T19:09:44.959598+00:00
# Model run: 2026-03-16T12:00:00+00:00
# DMI Created: 2026-03-16T15:24:07.858416+00:00
tid,dkssGammel,dkssNy,totalWaterMet
2026-03-16 20:00,0.325,,0.130
2026-03-16 21:00,0.315,,0.120
2026-03-16 22:00,0.305,,0.130
2026-03-16 23:00,0.323,,0.170
2026-03-17 00:00,0.336,,0.200
2026-03-17 01:00,0.334,,0.230
2026-03-17 02:00,0.300,,0.250
2026-03-17 03:00,0.269,,0.220
2026-03-17 04:00,0.238,,0.150
2026-03-17 05:00,0.200,,0.060
2026-03-17 06:00,0.158,,-0.040
2026-03-17 07:00,0.122,,-0.130
2026-03-17 08:00,0.092,,-0.210
2026-03-17 09:00,0.079,,-0.240
2026-03-17 10:00,0.056,,-0.250
2026-03-17 11:00,0.054,,-0.230
2026-03-17 12:00,0.054,,-0.190
2026-03-17 13:00,0.050,,-0.140
2026-03-17 14:00,0.034,,-0.110
2026-03-17 15:00,0.023,,-0.110
2026-03-17 16:00,0.022,,-0.140
2026-03-17 17:00,0.026,,-0.180
2026-03-17 18:00,-0.007,,-0.230
2026-03-17 19:00,-0.049,,-0.300
2026-03-17 20:00,-0.041,,-0.340
2026-03-17 21:00,-0.015,,-0.360
2026-03-17 22:00,-0.019,,-0.330
2026-03-17 23:00,-0.016,,-0.290
2026-03-18 00:00,0.007,,-0.230
2026-03-18 01:00,0.042,,-0.160
2026-03-18 02:00,0.062,,-0.080
2026-03-18 03:00,0.081,,-0.030
2026-03-18 04:00,0.095,,-0.030
2026-03-18 05:00,0.115,,-0.050
2026-03-18 06:00,0.109,,-0.080
2026-03-18 07:00,0.081,,-0.140
2026-03-18 08:00,0.070,,-0.190
2026-03-18 09:00,0.080,,-0.230
2026-03-18 10:00,0.081,,-0.220
2026-03-18 11:00,0.068,,-0.190
2026-03-18 12:00,0.081,,-0.140
2026-03-18 13:00,0.094,,-0.080
2026-03-18 14:00,0.098,,-0.030
2026-03-18 15:00,0.105,,0.000
2026-03-18 16:00,0.111,,0.000
2026-03-18 17:00,0.114,,-0.020
2026-03-18 18:00,0.119,,-0.050
2026-03-18 19:00,0.079,,-0.090
2026-03-18 20:00,0.042,,-0.140
2026-03-18 21:00,0.052,,-0.180
2026-03-18 22:00,0.057,,-0.180
2026-03-18 23:00,0.041,,-0.170
2026-03-19 00:00,0.040,,-0.140
2026-03-19 01:00,0.057,,-0.100
2026-03-19 02:00,0.063,,-0.050
2026-03-19 03:00,0.056,,-0.010
2026-03-19 04:00,0.055,,-0.030
2026-03-19 05:00,0.052,,-0.050
2026-03-19 06:00,0.044,,-0.100
2026-03-19 07:00,0.011,,-0.160
2026-03-19 08:00,-0.021,,-0.220
2026-03-19 09:00,-0.039,,-0.280
2026-03-19 10:00,-0.038,,-0.300
2026-03-19 11:00,-0.052,,-0.300
2026-03-19 12:00,-0.064,,-0.280
2026-03-19 13:00,-0.049,,-0.240
2026-03-19 14:00,-0.039,,-0.200
2026-03-19 15:00,-0.057,,-0.160
2026-03-19 16:00,-0.066,,-0.160
2026-03-19 17:00,-0.068,,-0.190
2026-03-19 18:00,-0.060,,-0.230
2026-03-19 19:00,-0.066,,-0.280
2026-03-19 20:00,-0.117,,-0.340
