# Model run (UTC): 2026-03-14 06:00
# Created (UTC): 2026-03-14 08:50
time_utc,time_local,wind_speed_ms,wind_dir_deg,hs_m,tp_s,mean_wave_period_s,mean_zerocrossing_period_s,mean_wave_dir_deg,windwave_hs_m,windwave_tp_s,windwave_dir_deg,swell_hs_m,swell_tp_s,swell_dir_deg,benjamin_feir_index
2026-03-14T03:00:00+00:00,04:00,5.117254,S,2.3652384,9.015625,8.519531,7.0117188,SW,0.26758212,2.887839,S,2.3496134,8.59375,SW,0.20288086
2026-03-14T04:00:00+00:00,05:00,3.9799213,S,2.2675822,8.8671875,8.421875,6.9375,SW,0.125004,2.1417453,S,2.263676,8.441406,SW,0.19335938
2026-03-14T05:00:00+00:00,06:00,3.7723205,SSE,2.1777384,8.609375,8.339844,6.8710938,WSW,0.091800876,1.9425266,SSE,2.1757853,8.3515625,WSW,0.22631836
2026-03-14T06:00:00+00:00,07:00,3.0,SSE,2.1,8.5,8.3,6.8,WSW,0.1,1.1,SSE,2.1,8.3,WSW,0.2
2026-03-14T07:00:00+00:00,08:00,2.3,SSE,2.0,8.4,8.2,6.8,WSW,0.0,0.9,SSE,2.0,8.2,WSW,0.2
2026-03-14T08:00:00+00:00,09:00,1.1,SE,2.0,8.3,8.2,6.7,WSW,0.0,1.0,S,2.0,8.2,WSW,0.2
2026-03-14T09:00:00+00:00,10:00,1.4,ESE,1.9,8.2,8.3,6.7,WSW,0.0,1.0,S,1.9,8.3,WSW,0.2
2026-03-14T10:00:00+00:00,11:00,3.4,ESE,1.9,8.1,8.4,6.8,WSW,0.1,1.2,ESE,1.9,8.4,WSW,0.2
2026-03-14T11:00:00+00:00,12:00,2.9,ESE,1.9,7.8,8.5,6.8,WSW,0.0,1.1,ESE,1.9,8.5,WSW,0.2
2026-03-14T12:00:00+00:00,13:00,3.6,SE,1.9,7.7,8.5,6.8,WSW,0.1,1.3,SE,1.9,8.5,WSW,0.2
2026-03-14T13:00:00+00:00,14:00,3.4,SSE,1.8,7.7,8.6,6.8,W,0.1,1.3,SSE,1.8,8.6,W,0.2
2026-03-14T14:00:00+00:00,15:00,2.2,SE,1.8,7.7,8.8,6.8,W,0.0,0.9,SE,1.8,8.8,W,0.2
2026-03-14T15:00:00+00:00,16:00,2.3,SE,1.8,7.6,8.9,6.9,W,0.0,1.0,SE,1.8,8.9,W,0.2
2026-03-14T16:00:00+00:00,17:00,2.3,SE,1.8,7.6,8.9,6.9,W,0.0,1.0,SE,1.8,8.9,W,0.1
2026-03-14T17:00:00+00:00,18:00,2.5,SE,1.8,7.5,9.0,6.9,W,0.0,1.0,SE,1.8,9.0,W,0.1
2026-03-14T18:00:00+00:00,19:00,0.7,ESE,1.8,13.6,9.1,6.9,W,0.0,1.0,S,1.8,9.1,W,0.0
2026-03-14T19:00:00+00:00,20:00,1.1,ENE,1.8,13.5,9.1,6.9,W,0.0,1.0,S,1.8,9.1,W,0.0
2026-03-14T20:00:00+00:00,21:00,2.6,SSE,1.7,13.4,9.1,6.9,W,0.0,1.0,SSE,1.7,9.1,W,0.0
2026-03-14T21:00:00+00:00,22:00,1.7,SSE,1.7,13.3,9.1,6.8,W,0.0,0.8,SSE,1.7,9.1,W,0.0
2026-03-14T22:00:00+00:00,23:00,2.3,SE,1.7,13.3,9.0,6.8,W,0.0,0.9,SE,1.7,9.1,W,0.0
2026-03-14T23:00:00+00:00,00:00,2.0,ESE,1.6,13.2,9.0,6.7,W,0.0,0.9,ESE,1.6,9.0,W,0.0
2026-03-15T00:00:00+00:00,01:00,1.7,SE,1.6,13.1,9.0,6.6,W,0.0,0.8,SE,1.6,9.0,W,0.0
2026-03-15T01:00:00+00:00,02:00,1.6,SE,1.6,12.9,8.9,6.6,W,0.0,0.8,SE,1.6,8.9,W,0.0
2026-03-15T02:00:00+00:00,03:00,2.0,SE,1.5,12.7,8.9,6.5,W,0.0,0.9,SE,1.5,8.9,W,0.0
2026-03-15T03:00:00+00:00,04:00,2.8,SE,1.5,12.5,8.8,6.4,W,0.0,1.0,SE,1.5,8.8,W,0.0
2026-03-15T04:00:00+00:00,05:00,3.9,ESE,1.4,12.4,8.7,6.2,W,0.1,1.4,SE,1.4,8.8,W,0.0
2026-03-15T05:00:00+00:00,06:00,4.4,ESE,1.4,12.3,8.6,6.0,W,0.1,1.5,ESE,1.4,8.7,W,0.0
2026-03-15T06:00:00+00:00,07:00,4.8,ESE,1.4,12.2,8.5,5.6,W,0.2,1.7,ESE,1.4,8.6,W,0.0
2026-03-15T07:00:00+00:00,08:00,5.2,ESE,1.4,12.2,8.4,5.3,W,0.2,1.8,ESE,1.3,8.6,W,0.0
2026-03-15T08:00:00+00:00,09:00,5.3,ESE,1.3,12.1,8.3,5.1,W,0.2,1.9,SE,1.3,8.5,W,0.0
2026-03-15T09:00:00+00:00,10:00,5.1,SE,1.3,12.0,8.0,4.9,W,0.2,2.0,SE,1.3,8.2,W,0.0
2026-03-15T10:00:00+00:00,11:00,6.0,S,1.4,11.9,7.4,4.5,W,0.5,2.9,S,1.3,8.0,W,0.0
2026-03-15T11:00:00+00:00,12:00,6.5,S,1.5,11.7,6.9,4.4,W,0.7,3.4,S,1.3,7.8,W,0.0
2026-03-15T12:00:00+00:00,13:00,7.8,S,1.6,5.9,6.5,4.4,WSW,0.9,4.0,SSW,1.3,7.7,W,0.2
2026-03-15T13:00:00+00:00,14:00,8.5,S,1.8,6.1,6.3,4.6,WSW,1.2,4.4,SSW,1.3,7.7,W,0.2
2026-03-15T14:00:00+00:00,15:00,8.7,S,1.9,6.5,6.4,4.8,SW,1.2,4.6,SSW,1.5,7.5,WSW,0.2
2026-03-15T15:00:00+00:00,16:00,9.0,SSE,2.0,6.5,6.5,5.0,SW,1.1,4.5,S,1.7,7.3,WSW,0.3
2026-03-15T16:00:00+00:00,17:00,9.8,SSE,2.1,7.0,6.5,5.1,SW,1.3,4.9,S,1.6,7.6,WSW,0.2
2026-03-15T17:00:00+00:00,18:00,9.8,SSE,2.2,7.1,6.6,5.3,SW,1.4,5.0,S,1.8,7.7,WSW,0.3
2026-03-15T18:00:00+00:00,19:00,9.0,SSE,2.4,7.3,6.9,5.7,SW,1.1,4.7,S,2.1,7.6,SW,0.2
2026-03-15T19:00:00+00:00,20:00,9.5,SSE,2.6,7.8,7.1,6.0,SW,1.2,4.9,S,2.2,7.8,SW,0.3
2026-03-15T20:00:00+00:00,21:00,11.0,S,2.8,7.9,7.3,6.1,SSW,1.9,6.0,S,2.1,8.4,SW,0.3
2026-03-15T21:00:00+00:00,22:00,13.1,S,3.3,8.4,7.5,6.2,SSW,2.7,6.8,SSW,1.8,9.2,WSW,0.3
2026-03-15T22:00:00+00:00,23:00,12.7,S,3.5,8.6,7.8,6.5,SSW,2.8,7.0,SSW,2.2,9.3,WSW,0.3
2026-03-15T23:00:00+00:00,00:00,9.0,S,3.4,8.7,8.1,7.0,SSW,1.4,5.2,S,3.1,8.7,SW,0.3
2026-03-16T00:00:00+00:00,01:00,7.0,S,3.2,8.8,8.3,7.2,SW,0.7,4.0,S,3.1,8.5,SW,0.3
2026-03-16T01:00:00+00:00,02:00,6.0,S,3.0,8.8,8.4,7.2,SW,0.4,3.5,S,2.9,8.4,SW,0.3
2026-03-16T02:00:00+00:00,03:00,5.1,SSW,2.8,8.8,8.4,7.3,SW,0.2,3.0,SSW,2.8,8.4,SW,0.3
2026-03-16T03:00:00+00:00,04:00,3.9,SSW,2.6,8.7,8.3,7.3,SW,0.1,1.9,SSW,2.6,8.3,SW,0.3
2026-03-16T04:00:00+00:00,05:00,4.1,SW,2.5,8.6,8.3,7.2,SW,0.1,2.0,SW,2.5,8.3,SW,0.3
2026-03-16T05:00:00+00:00,06:00,3.8,SW,2.4,8.5,8.2,7.1,SW,0.1,1.6,SW,2.4,8.2,SW,0.3
2026-03-16T06:00:00+00:00,07:00,4.4,WSW,2.3,8.5,8.2,7.1,SW,0.1,2.2,WSW,2.3,8.2,SW,0.2
