# Model run (UTC): 2026-03-13 09:00
# Created (UTC): 2026-03-13 11:35
time_utc,time_local,wind_speed_ms,wind_dir_deg,gust_speed_ms,temp_air_c
2026-03-13T06:00:00+00:00,07:00,3.6535587299683585,SSE,5.9804416,4.432340000000011
2026-03-13T07:00:00+00:00,08:00,3.3709973045448947,SSE,5.9801407,4.476400000000012
2026-03-13T08:00:00+00:00,09:00,4.095921008570923,SSE,7.4129157,4.4840599999999995
2026-03-13T09:00:00+00:00,10:00,7.9,SSW,12.8,3.9
2026-03-13T10:00:00+00:00,11:00,9.0,WSW,15.9,3.0
2026-03-13T11:00:00+00:00,12:00,9.5,SW,15.7,4.3
2026-03-13T12:00:00+00:00,13:00,7.8,SW,17.0,5.2
2026-03-13T13:00:00+00:00,14:00,6.6,SW,12.8,5.1
2026-03-13T14:00:00+00:00,15:00,6.5,SSW,12.2,5.2
2026-03-13T15:00:00+00:00,16:00,6.8,SSW,11.2,4.7
2026-03-13T16:00:00+00:00,17:00,6.2,SSW,11.3,4.3
2026-03-13T17:00:00+00:00,18:00,7.2,SSW,12.4,4.1
2026-03-13T18:00:00+00:00,19:00,7.2,SSW,13.8,4.1
2026-03-13T19:00:00+00:00,20:00,7.7,SSW,12.7,4.2
2026-03-13T20:00:00+00:00,21:00,5.4,SSW,12.4,3.9
2026-03-13T21:00:00+00:00,22:00,3.2,SSW,11.1,4.0
2026-03-13T22:00:00+00:00,23:00,3.7,SSW,6.1,4.1
2026-03-13T23:00:00+00:00,00:00,4.3,S,6.8,4.2
2026-03-14T00:00:00+00:00,01:00,4.4,S,7.1,4.1
2026-03-14T01:00:00+00:00,02:00,4.1,S,7.2,4.1
2026-03-14T02:00:00+00:00,03:00,3.2,S,6.5,3.7
2026-03-14T03:00:00+00:00,04:00,2.5,SSE,5.0,3.8
2026-03-14T04:00:00+00:00,05:00,1.9,SE,3.9,3.9
2026-03-14T05:00:00+00:00,06:00,2.0,SE,2.9,4.0
2026-03-14T06:00:00+00:00,07:00,2.0,ESE,3.2,3.9
2026-03-14T07:00:00+00:00,08:00,2.1,ESE,3.0,4.0
2026-03-14T08:00:00+00:00,09:00,1.8,SE,3.3,4.7
2026-03-14T09:00:00+00:00,10:00,2.4,SSE,4.2,5.4
2026-03-14T10:00:00+00:00,11:00,2.6,SSE,5.3,5.6
2026-03-14T11:00:00+00:00,12:00,3.1,SSE,5.9,5.6
2026-03-14T12:00:00+00:00,13:00,2.8,SSE,5.5,5.4
2026-03-14T13:00:00+00:00,14:00,2.3,SSE,5.1,6.0
2026-03-14T14:00:00+00:00,15:00,2.7,SSE,4.8,6.2
2026-03-14T15:00:00+00:00,16:00,2.0,SSE,4.9,6.0
2026-03-14T16:00:00+00:00,17:00,1.3,SSE,3.7,5.7
2026-03-14T17:00:00+00:00,18:00,1.5,SSE,2.4,5.1
2026-03-14T18:00:00+00:00,19:00,0.7,SE,2.2,3.4
2026-03-14T19:00:00+00:00,20:00,0.5,ESE,0.9,2.8
2026-03-14T20:00:00+00:00,21:00,1.5,SE,1.7,2.3
2026-03-14T21:00:00+00:00,22:00,1.8,ESE,2.7,2.7
2026-03-14T22:00:00+00:00,23:00,1.8,SE,2.5,2.3
2026-03-14T23:00:00+00:00,00:00,3.2,NE,4.3,2.6
2026-03-15T00:00:00+00:00,01:00,1.3,SSW,4.4,1.9
2026-03-15T01:00:00+00:00,02:00,1.0,SSE,2.1,0.5
2026-03-15T02:00:00+00:00,03:00,2.3,SE,3.4,-0.1
2026-03-15T03:00:00+00:00,04:00,2.7,SE,4.1,0.3
2026-03-15T04:00:00+00:00,05:00,3.0,ESE,4.6,0.7
2026-03-15T05:00:00+00:00,06:00,2.9,ESE,4.6,0.6
2026-03-15T06:00:00+00:00,07:00,3.0,ESE,4.2,0.7
2026-03-15T07:00:00+00:00,08:00,3.5,ESE,5.5,0.9
2026-03-15T08:00:00+00:00,09:00,3.9,ESE,6.4,1.8
2026-03-15T09:00:00+00:00,10:00,4.6,ESE,7.7,2.9
2026-03-15T10:00:00+00:00,11:00,5.2,SE,8.8,4.2
2026-03-15T11:00:00+00:00,12:00,5.6,SE,9.5,5.0
2026-03-15T12:00:00+00:00,13:00,5.7,SSE,9.9,5.7
2026-03-15T13:00:00+00:00,14:00,6.4,SSE,10.8,5.5
2026-03-15T14:00:00+00:00,15:00,7.1,SSE,11.9,5.3
2026-03-15T15:00:00+00:00,16:00,7.7,SSE,12.8,5.1
2026-03-15T16:00:00+00:00,17:00,7.8,SSE,13.1,4.6
2026-03-15T17:00:00+00:00,18:00,7.8,SSE,12.9,4.3
2026-03-15T18:00:00+00:00,19:00,8.2,SSE,13.4,4.2
2026-03-15T19:00:00+00:00,20:00,8.2,SSE,14.1,4.0
2026-03-15T20:00:00+00:00,21:00,9.4,SSE,15.8,4.1
2026-03-15T21:00:00+00:00,22:00,9.0,S,15.3,4.2
