# Model run (UTC): 2025-12-02 16:28
time_utc,time_local,wind_speed_ms,wind_dir_deg,gust_speed_ms,cloud_cover_pct,precip_mm
2025-12-01T18:00:00+00:00,19:00,11.8,SSE,,100.0,
2025-12-02T00:00:00+00:00,01:00,11.6,SSE,,100.0,
2025-12-02T06:00:00+00:00,07:00,12.5,S,,100.0,
2025-12-02T12:00:00+00:00,13:00,7.8,SSW,13.1,100.0,0.0
2025-12-02T13:00:00+00:00,14:00,7.4,SSW,11.0,87.8,0.0
2025-12-02T14:00:00+00:00,15:00,6.4,SSW,10.4,90.7,0.0
2025-12-02T15:00:00+00:00,16:00,5.3,SSW,7.7,99.4,0.0
2025-12-02T16:00:00+00:00,17:00,6.2,SSW,8.7,99.9,0.0
2025-12-02T17:00:00+00:00,18:00,5.2,SSW,8.7,99.9,0.0
2025-12-02T18:00:00+00:00,19:00,5.1,SSW,7.4,100.0,0.0
2025-12-02T19:00:00+00:00,20:00,5.1,SSW,7.7,99.0,0.0
2025-12-02T20:00:00+00:00,21:00,6.1,S,9.4,99.1,0.0
2025-12-02T21:00:00+00:00,22:00,4.9,SSW,8.7,99.8,0.0
2025-12-02T22:00:00+00:00,23:00,5.6,SSW,7.9,99.3,0.0
2025-12-02T23:00:00+00:00,00:00,5.5,SSW,8.3,99.8,0.0
2025-12-03T00:00:00+00:00,01:00,5.2,S,7.8,99.9,0.0
2025-12-03T01:00:00+00:00,02:00,4.9,S,7.5,99.7,0.0
2025-12-03T02:00:00+00:00,03:00,3.9,S,7.0,99.9,0.0
2025-12-03T03:00:00+00:00,04:00,3.1,SSE,5.5,100.0,0.0
2025-12-03T04:00:00+00:00,05:00,2.9,SSE,4.5,99.9,0.0
2025-12-03T05:00:00+00:00,06:00,4.3,SSE,6.6,98.3,0.0
2025-12-03T06:00:00+00:00,07:00,4.8,SE,6.8,95.5,0.0
2025-12-03T07:00:00+00:00,08:00,3.2,ESE,8.4,99.0,0.0
2025-12-03T08:00:00+00:00,09:00,4.2,E,6.2,98.5,0.1
2025-12-03T09:00:00+00:00,10:00,4.1,E,6.4,98.1,0.0
2025-12-03T10:00:00+00:00,11:00,5.5,SE,8.8,99.2,0.0
2025-12-03T11:00:00+00:00,12:00,6.9,SE,9.9,100.0,0.0
2025-12-03T12:00:00+00:00,13:00,6.5,SE,10.6,100.0,1.5
2025-12-03T13:00:00+00:00,14:00,7.6,SE,11.0,100.0,0.3
2025-12-03T14:00:00+00:00,15:00,7.5,SE,11.1,100.0,0.0
2025-12-03T15:00:00+00:00,16:00,7.0,SE,10.8,99.8,0.0
2025-12-03T16:00:00+00:00,17:00,7.2,SE,10.7,99.8,0.1
2025-12-03T17:00:00+00:00,18:00,7.4,SE,10.8,100.0,0.1
2025-12-03T18:00:00+00:00,19:00,7.8,SE,11.4,99.8,0.3
2025-12-03T19:00:00+00:00,20:00,7.7,SE,11.6,100.0,0.3
2025-12-03T20:00:00+00:00,21:00,7.3,SE,11.2,100.0,0.1
2025-12-03T21:00:00+00:00,22:00,6.6,SE,10.7,100.0,0.3
2025-12-03T22:00:00+00:00,23:00,6.3,SE,9.6,96.9,0.4
2025-12-03T23:00:00+00:00,00:00,6.0,SE,9.0,98.9,0.2
2025-12-04T00:00:00+00:00,01:00,6.4,SE,10.2,96.9,0.2
2025-12-04T01:00:00+00:00,02:00,7.0,SE,10.9,95.4,0.2
2025-12-04T02:00:00+00:00,03:00,6.5,ESE,10.1,99.7,1.3
2025-12-04T03:00:00+00:00,04:00,7.5,SE,11.8,99.9,0.6
2025-12-04T04:00:00+00:00,05:00,3.3,SSE,10.8,100.0,1.0
2025-12-04T05:00:00+00:00,06:00,3.7,SE,6.9,99.4,0.0
2025-12-04T06:00:00+00:00,07:00,4.1,ESE,5.9,95.8,0.1
2025-12-04T07:00:00+00:00,08:00,5.4,ESE,7.8,96.3,1.2
2025-12-04T08:00:00+00:00,09:00,3.4,E,7.9,99.9,1.0
2025-12-04T09:00:00+00:00,10:00,6.8,SE,10.4,99.5,0.0
2025-12-04T10:00:00+00:00,11:00,7.1,SE,10.4,98.8,0.2
2025-12-04T11:00:00+00:00,12:00,6.8,ESE,10.6,100.0,0.2
2025-12-04T12:00:00+00:00,13:00,7.3,ESE,11.2,100.0,0.3
2025-12-04T13:00:00+00:00,14:00,7.2,ESE,11.1,97.4,0.2
2025-12-04T14:00:00+00:00,15:00,5.9,SE,10.5,97.5,0.0
2025-12-04T15:00:00+00:00,16:00,6.0,ESE,9.3,99.8,0.0
2025-12-04T16:00:00+00:00,17:00,6.1,ESE,8.9,100.0,0.3
2025-12-04T17:00:00+00:00,18:00,6.4,SE,9.7,99.6,0.0
2025-12-04T18:00:00+00:00,19:00,6.3,SE,9.3,100.0,0.0
2025-12-04T19:00:00+00:00,20:00,6.7,ESE,10.4,100.0,0.0
2025-12-04T20:00:00+00:00,21:00,6.5,ESE,10.2,100.0,0.0
2025-12-04T21:00:00+00:00,22:00,6.8,ESE,10.0,100.0,0.3
2025-12-04T22:00:00+00:00,23:00,6.4,ESE,10.0,100.0,0.4
2025-12-04T23:00:00+00:00,00:00,6.9,ESE,10.1,100.0,0.4
2025-12-05T00:00:00+00:00,01:00,8.4,SE,12.3,99.9,
2025-12-05T06:00:00+00:00,07:00,8.9,ESE,,100.0,
2025-12-05T12:00:00+00:00,13:00,9.8,ESE,,100.0,
2025-12-05T18:00:00+00:00,19:00,9.8,ESE,,100.0,
2025-12-06T00:00:00+00:00,01:00,9.6,ESE,,100.0,
2025-12-06T06:00:00+00:00,07:00,10.1,ESE,,100.0,
2025-12-06T12:00:00+00:00,13:00,11.2,ESE,,100.0,
2025-12-06T18:00:00+00:00,19:00,11.2,ESE,,100.0,
2025-12-07T00:00:00+00:00,01:00,10.2,E,,100.0,
2025-12-07T06:00:00+00:00,07:00,9.7,ENE,,100.0,
2025-12-07T12:00:00+00:00,13:00,8.7,ENE,,100.0,
2025-12-07T18:00:00+00:00,19:00,8.3,ENE,,100.0,
2025-12-08T00:00:00+00:00,01:00,6.8,E,,100.0,
2025-12-08T06:00:00+00:00,07:00,6.6,E,,100.0,
2025-12-08T12:00:00+00:00,13:00,6.6,ENE,,100.0,
2025-12-08T18:00:00+00:00,19:00,6.7,ENE,,100.0,
2025-12-09T00:00:00+00:00,01:00,7.1,ENE,,100.0,
2025-12-09T06:00:00+00:00,07:00,6.9,ESE,,100.0,
